_id,Station ID,Station Name,Direction,MTO Region,Highway or Road,Location Description,Day of Week Number,Hour,Single,Multi,Auto,total_trucks,Total vehicles
6400,ON0126,Gravenhurst (South/Sud: North Bay - Toronto),South,Northern,Hwy 11,"On Highway 11, between Muskoka Rd 169 & Ure Rd, about 2.5 km south of Muskoka Rd 169",1,15,44,45,2398,90,2488
6401,ON0126,Gravenhurst (South/Sud: North Bay - Toronto),South,Northern,Hwy 11,"On Highway 11, between Muskoka Rd 169 & Ure Rd, about 2.5 km south of Muskoka Rd 169",1,16,66,44,2254,110,2364
6402,ON0126,Gravenhurst (South/Sud: North Bay - Toronto),South,Northern,Hwy 11,"On Highway 11, between Muskoka Rd 169 & Ure Rd, about 2.5 km south of Muskoka Rd 169",1,17,64,28,2054,92,2146
6403,ON0126,Gravenhurst (South/Sud: North Bay - Toronto),South,Northern,Hwy 11,"On Highway 11, between Muskoka Rd 169 & Ure Rd, about 2.5 km south of Muskoka Rd 169",1,18,28,31,1730,58,1789
6404,ON0126,Gravenhurst (South/Sud: North Bay - Toronto),South,Northern,Hwy 11,"On Highway 11, between Muskoka Rd 169 & Ure Rd, about 2.5 km south of Muskoka Rd 169",1,19,29,32,1794,60,1854
6405,ON0126,Gravenhurst (South/Sud: North Bay - Toronto),South,Northern,Hwy 11,"On Highway 11, between Muskoka Rd 169 & Ure Rd, about 2.5 km south of Muskoka Rd 169",1,20,30,35,1484,64,1548
6406,ON0126,Gravenhurst (South/Sud: North Bay - Toronto),South,Northern,Hwy 11,"On Highway 11, between Muskoka Rd 169 & Ure Rd, about 2.5 km south of Muskoka Rd 169",1,21,13,34,1102,47,1149
6407,ON0126,Gravenhurst (South/Sud: North Bay - Toronto),South,Northern,Hwy 11,"On Highway 11, between Muskoka Rd 169 & Ure Rd, about 2.5 km south of Muskoka Rd 169",1,22,9,38,530,46,576
6408,ON0126,Gravenhurst (South/Sud: North Bay - Toronto),South,Northern,Hwy 11,"On Highway 11, between Muskoka Rd 169 & Ure Rd, about 2.5 km south of Muskoka Rd 169",1,23,5,26,166,30,196
6409,ON0126,Gravenhurst (South/Sud: North Bay - Toronto),South,Northern,Hwy 11,"On Highway 11, between Muskoka Rd 169 & Ure Rd, about 2.5 km south of Muskoka Rd 169",2,0,4,18,84,21,105
